batch size,balanced head count,possible outcomes,possible balanced outcomes,calculated percentage,"observed percentage,",percentage error,time in seconds
 2, 1, 4, 2, 50.00%, 49.97%, 0.03%, 0.656011
 4, 2, 16, 6, 37.50%, 37.45%, 0.05%, 0.958788
 6, 3, 64, 20, 31.25%, 31.28%, 0.03%, 1.296031
 8, 4, 256, 70, 27.34%, 27.34%, 0.01%, 1.561165
 10, 5, 1024, 252, 24.61%, 24.54%, 0.07%, 1.822900
 12, 6, 4096, 924, 22.56%, 22.58%, 0.02%, 2.101056
 14, 7, 16384, 3432, 20.95%, 20.98%, 0.03%, 2.399447
 16, 8, 65536, 12870, 19.64%, 19.62%, 0.02%, 2.698155
 18, 9, 262144, 48620, 18.55%, 18.59%, 0.04%, 2.994042
 20, 10, 1048576, 184756, 17.62%, 17.64%, 0.02%, 9.150167
 22, 11, 4194304, 705432, 16.82%, 16.87%, 0.05%, 10.433684
 24, 12, 16777216, 2704156, 16.12%, 16.08%, 0.04%, 11.731287
 26, 13, 67108864, 10400600, 15.50%, 15.48%, 0.02%, 14.393826
 28, 14, 268435456, 40116600, 14.94%, 14.95%, 0.00%, 12.121207
 30, 15, 1073741824, 155117520, 14.45%, 14.44%, 0.01%, 14.044542
 32, 16, 4294967296, 601080390, 13.99%, 14.02%, 0.02%, 14.279325
 34, 17, 17179869184, 2333606220, 13.58%, 13.60%, 0.02%, 14.057014
 36, 18, 68719476736, 9075135300, 13.21%, 13.18%, 0.03%, 5.773542
 38, 19, 274877906944, 35345263800, 12.86%, 12.88%, 0.02%, 6.014203
 40, 20, 1099511627776, 137846528820, 12.54%, 12.49%, 0.05%, 15.679802
 42, 21, 4398046511104, 538257874440, 12.24%, 12.27%, 0.03%, 18.431752
 44, 22, 17592186044416, 2104098963720, 11.96%, 11.93%, 0.03%, 19.278203
 46, 23, 70368744177664, 8233430727600, 11.70%, 11.71%, 0.01%, 19.576996
 48, 24, 281474976710656, 32247603683100, 11.46%, 11.48%, 0.03%, 20.693669
 50, 25, 1125899906842624, 126410606437752, 11.23%, 11.18%, 0.04%, 21.775331
 52, 26, 4503599627370496, 495918532948104, 11.01%, 11.00%, 0.01%, 22.479579
 54, 27, 18014398509481984, 1946939425648112, 10.81%, 10.76%, 0.04%, 23.109295
 56, 28, 72057594037927936, 7648690600760440, 10.61%, 10.66%, 0.05%, 16.504630
 58, 29, 288230376151711744, 30067266499541040, 10.43%, 10.43%, 0.01%, 12.585614
 60, 30, 1152921504606846976, 118264581564861424, 10.26%, 10.23%, 0.03%, 9.220778
 62, 31, 4611686018427387904, 465428353255261056, 10.09%, 10.08%, 0.02%, 9.514082
 64, 32, 18446744073709551616, 1832624140942590464, 9.93%, 9.95%, 0.02%, 9.451382
 66, 33, 73786976294838206464, 7219428434016266240, 9.78%, 9.73%, 0.05%, 9.703559
 68, 34, 295147905179352825856, 28453041475240574976, 9.64%, 9.64%, 0.00%, 10.057202
 70, 35, 1180591620717411303424, 112186277816662851584, 9.50%, 9.53%, 0.03%, 10.298442
